TimeStamp,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Marker
1741872000.000000,-15.5578,-4.3963,-18.0154,-42.2869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.003906,15.4730,2.7842,-5.5183,-17.1378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.007812,-7.5277,3.9588,2.2726,38.6185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.011719,2.5825,-9.3929,23.0058,3.4895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.015625,0.0674,20.8887,2.1715,16.2429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.019531,11.9581,-10.5176,29.3899,25.2577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.023438,28.3657,14.8365,26.6043,2.5743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.027344,23.8295,-3.9253,40.3618,43.2850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.031250,6.2658,31.9763,35.1530,24.6635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.035156,18.8956,34.5357,36.2389,14.3750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.039062,18.4045,21.5512,28.0022,34.2219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.042969,22.8638,1.3884,34.0391,-4.7817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.046875,9.2683,-7.2439,-10.6343,10.1068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.050781,10.0592,-4.8116,-15.3098,-11.7918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.054688,-4.8593,-6.6539,0.9122,-21.6121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.058594,-22.5297,-3.0673,-2.6204,21.2827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.062500,-11.7366,-8.1960,-23.8726,-12.2833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.066406,1.0628,-47.7459,-4.0088,-4.5283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1741872000.070312,-0.1314,-9.2166,-34.9504,-30.0185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
