%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 256 Hz
%Board = OpenBCI_GUI$BoardShim
%Generated by NeuroBIDS-Flow sample generator
 Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Timestamp, Marker
     0,      278,      141,     1469,     -966,     -416,      131,     -327,     -563, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000000, 
     1,      979,     -373,      326,     -134,     1419,    -1040,     1654,     -298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.003906, 
     2,      591,      844,     -135,      462,     -361,      620,      982,     1053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.007812, 
     3,     1037,     1535,     1381,      866,      363,     -503,     1153,      450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011719, 
     4,      394,      974,      930,      966,      371,     1330,       48,      419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.015625, 
     5,     1356,      341,      489,     2019,     2129,     1447,     1254,      487, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.019531, 
     6,      543,     1096,      238,     1501,     -124,      924,      336,     2475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.023438, 
     7,      130,      -44,      612,     1325,      331,     1433,     2589,      924, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.027344, 
     8,      688,      173,      955,     1476,      843,     1507,      592,     1742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.031250, 
     9,      533,      544,     1319,     1626,      805,      791,      658,     1438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.035156, 
    10,     1189,      608,      757,      148,     1294,      469,      487,      328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.039062, 
    11,     -593,     -424,      686,     -678,     1039,     -510,      490,      706, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.042969, 
    12,      907,      341,      -50,     -233,     -324,      -64,      974,     -245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.046875, 
    13,     -463,      305,      528,     -966,      139,     -713,      293,     1125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.050781, 
    14,    -1915,     -405,     -399,     -920,     -402,     -936,       83,     -735, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.054688, 
    15,    -1271,    -1909,      772,     -394,     -793,     -953,      308,     -146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.058594, 
    16,     -840,     -563,    -1071,    -1005,       22,    -1950,    -1399,     -965, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.062500, 
    17,     -470,      449,     -503,     -333,     -623,     -111,      -53,    -1459, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.066406, 
    18,     -946,     -549,      612,     -653,      187,     -709,     -597,     -271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.070312, 
    19,    -1705,     -883,     -194,     -649,     -599,     -114,    -1245,    -1442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.074219, 
    20,    -1399,    -1127,     -377,    -1726,     -280,     -339,     -719,    -2358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.078125, 
    21,    -1608,     -420,     -608,    -1397,    -2655,     -473,     -714,     -821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.082031, 
    22,     -516,     -550,     -655,    -1972,     -655,     -157,    -2487,    -1496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.085938, 
    23,     -592,      -56,     -648,     -150,     -265,     -430,      303,     -776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.089844, 
    24,       71,    -1076,     -717,      949,      -12,      535,      333,     -123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.093750, 
    25,    -1317,      -47,    -1159,       -9,      884,     -471,    -1190,     -240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.097656, 
    26,     -268,     -219,      519,      269,      481,       76,     -644,      356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.101562, 
    27,     1665,      553,     -728,      -53,     -532,      116,      946,     -864, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.105469, 
    28,      929,     -806,      936,      353,      838,     1852,      647,     1050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.109375, 
    29,      465,      401,      457,     1520,     1204,      240,      601,      266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.113281, 
    30,      127,     1154,      149,      851,      359,     1654,      740,     -303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117188, 
    31,     1612,     1340,     1812,     1297,      570,      -46,      765,     -847, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.121094, 
    32,     1923,      874,      -77,     1767,     1401,      962,     -177,      688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.125000, 
    33,       96,     -582,      420,     1605,      848,      745,      134,      410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.128906, 
    34,       80,     1218,      403,      809,     1501,      102,     1114,      408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.132812, 
    35,      848,     1724,      761,      732,      766,      215,      778,     1085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.136719, 
    36,      744,      -68,       83,      235,     -989,      832,      387,     1902, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.140625, 
    37,      622,       12,     1279,      633,      318,       72,     -401,       -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.144531, 
